City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
28,Longyearbyen,78.2186,15.6401,40.84,75,20,4.61,SJ,2022-08-16 00:06:51
29,Lujan,-34.5703,-59.105,49.95,47,9,5.75,AR,2022-08-16 00:06:51
30,Trat,12.5,102.5,77.88,93,100,3.11,TH,2022-08-16 00:06:52
31,Bardiyah,31.7561,25.0865,76.39,71,0,6.85,LY,2022-08-16 00:06:52
32,Blythe,33.6103,-114.5964,102.65,29,0,4.61,US,2022-08-16 00:06:52
33,Lodwar,3.1191,35.5973,83.77,44,99,10.22,KE,2022-08-16 00:06:53
34,Oudtshoorn,-33.5907,22.2014,52.95,30,99,6.04,ZA,2022-08-16 00:06:53
35,Puerto Ayora,-0.7393,-90.3518,69.55,95,95,8.01,EC,2022-08-16 00:06:53
36,Georgetown,5.4112,100.3354,84.88,80,20,2.3,MY,2022-08-16 00:06:54
37,Torbay,47.6666,-52.7314,67.57,86,30,4.0,CA,2022-08-16 00:05:36
38,Khasan,42.4308,130.6434,68.63,85,95,10.67,RU,2022-08-16 00:06:55
39,Qaanaaq,77.484,-69.3632,41.7,81,96,2.98,GL,2022-08-16 00:06:55
40,Teodoro Sampaio,-22.5325,-52.1675,75.33,38,13,4.21,BR,2022-08-16 00:06:55
41,Matamoros,25.5333,-103.25,93.31,27,75,3.44,MX,2022-08-16 00:06:56
42,Bathsheba,13.2167,-59.5167,83.01,78,40,13.8,BB,2022-08-16 00:06:56
43,Rawalpindi,33.6007,73.0679,76.23,89,23,1.61,PK,2022-08-16 00:04:10
44,Vestmannaeyjar,63.4427,-20.2734,48.52,72,6,17.69,IS,2022-08-16 00:06:57
45,Kodiak,57.79,-152.4072,60.31,72,100,9.22,US,2022-08-16 00:06:57
46,Punta Arenas,-53.15,-70.9167,37.51,81,20,16.11,CL,2022-08-16 00:07:57
47,Koson,39.0375,65.585,73.72,24,0,3.83,UZ,2022-08-16 00:07:58
48,Vaini,-21.2,-175.2,72.21,64,100,30.6,TO,2022-08-16 00:07:58
49,Ancud,-41.8697,-73.8203,46.38,89,91,15.08,CL,2022-08-16 00:07:59
50,Ilulissat,69.2167,-51.1,51.82,62,75,17.27,GL,2022-08-16 00:07:59
51,Lompoc,34.6391,-120.4579,70.84,78,0,12.66,US,2022-08-16 00:08:00
52,Bridgetown,13.1,-59.6167,82.89,78,40,13.8,BB,2022-08-16 00:08:00
53,Ushuaia,-54.8,-68.3,38.86,65,40,4.61,AR,2022-08-16 00:03:15
54,Brokopondo,4.75,-55.1667,78.94,78,58,8.1,SR,2022-08-16 00:08:01
55,Pevek,69.7008,170.3133,35.92,88,30,1.95,RU,2022-08-16 00:08:01
56,Bafra,41.5678,35.9069,71.24,91,47,2.66,TR,2022-08-16 00:08:01
57,Paris,48.8534,2.3488,70.57,75,0,3.44,FR,2022-08-16 00:06:42
58,Waingapu,-9.6567,120.2641,78.96,64,65,10.25,ID,2022-08-16 00:08:02
59,Sungaipenuh,-2.0833,101.3833,63.14,94,75,0.72,ID,2022-08-16 00:08:03
60,Hirado,33.3597,129.5531,86.4,86,85,22.84,JP,2022-08-16 00:08:03
61,Yellowknife,62.456,-114.3525,73.56,64,11,11.99,CA,2022-08-16 00:04:44
62,Sao Felix Do Xingu,-6.6447,-51.995,77.56,39,13,1.01,BR,2022-08-16 00:08:04
63,Shawville,45.6001,-76.4827,71.85,69,89,1.45,CA,2022-08-16 00:08:04
64,Cape Town,-33.9258,18.4232,56.37,78,100,0.74,ZA,2022-08-16 00:08:05
65,Port Alfred,-33.5906,26.891,49.17,82,69,13.02,ZA,2022-08-16 00:08:05
