City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
496,Socorro,US,87.1,overcast clouds,31.6546,-106.3033,guarderia imss papalote
498,North Myrtle Beach,US,77.38,mist,33.816,-78.68,Avista Resort
501,Fort Nelson,CA,81.99,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
504,Sanandaj,IR,78.82,clear sky,35.3144,46.9923,Sanandaj Tourist Hotel
506,Miri,MY,75.34,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
509,Baculin,PH,80.02,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
511,Lardos,GR,85.82,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
512,Meulaboh,ID,75.69,overcast clouds,4.1363,96.1285,Kost Pria
513,Natal,BR,79.02,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
517,Santa Maria Da Vitoria,BR,75.65,clear sky,-13.3947,-44.1886,Pousada Rio Current
518,Whitehorse,CA,70.11,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
519,Barnala,IN,82.9,broken clouds,30.3833,75.55,STARiHOTEL Barnala
521,The Pas,CA,80.62,clear sky,53.8251,-101.2541,Wescana Inn
525,Tahta,EG,88.99,clear sky,26.7693,31.5021,فندق الزيات
526,Nago,JP,85.05,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
528,Hoquiam,US,71.96,broken clouds,46.9809,-123.8893,Econo Lodge Inn & Suites
529,Bodden Town,KY,86.99,few clouds,19.2833,-81.25,Will T Place
534,Kavaratti,IN,81.19,overcast clouds,10.5669,72.642,Green leaf
535,Ferkessedougou,CI,73.4,overcast clouds,9.6,-5.2,Hotel Chateau
536,Biak,ID,75.6,overcast clouds,-0.9131,122.8766,Penginapan Kim
537,Ixtapa,MX,84.22,scattered clouds,20.7,-105.2,hotel la terminal
538,Tura,IN,74.53,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
540,Manfredonia,IT,74.62,overcast clouds,41.6259,15.9094,Regiohotel Manfredi
543,Pendleton,US,90.0,broken clouds,45.6721,-118.7886,Americas Best Value Inn Pendleton
545,Ozu,JP,85.17,overcast clouds,33.5,132.55,HOTEL FOREST
546,Gondanglegi,ID,72.93,scattered clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
547,Liepaja,LV,75.18,clear sky,56.5419,21.0367,Promenade Hotel
549,Amol,IR,73.27,clear sky,36.4696,52.3507,Shahr Hotel
550,Maiduguri,NG,72.23,moderate rain,11.8464,13.1603,Kagel Mari Police Station
551,Ranong,TH,78.91,light rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
553,Celestun,MX,83.37,overcast clouds,20.8667,-90.4,Posada Lilia
555,Marinette,US,77.05,scattered clouds,45.1,-87.6307,AmericInn by Wyndham Menominee
556,Chippewa Falls,US,76.84,broken clouds,44.9369,-91.3929,AmericInn by Wyndham Chippewa Falls
559,Cairns,AU,72.07,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
561,Pontian Kecil,MY,75.52,broken clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
562,Carutapera,BR,79.84,broken clouds,-1.195,-46.02,Lidera
565,Davila,PH,75.18,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
567,Mumford,GH,73.96,overcast clouds,5.2618,-0.759,Spanish Villa
570,Yarmouth,US,80.15,clear sky,41.7057,-70.2286,Blue Rock Resort
572,Makat,KZ,71.73,overcast clouds,47.6469,53.3463,Umit
573,Shenjiamen,CN,81.01,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
574,Grand-Santi,GF,78.53,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
576,Wajir,KE,75.09,broken clouds,1.7471,40.0573,Mahatallah Hotel
580,Kandrian,PG,78.67,moderate rain,-6.2167,149.55,Kandrian Station
581,Paracuru,BR,79.11,few clouds,-3.41,-39.0306,Hotel Vento Brasil
582,Telimele,GN,70.54,light rain,10.9167,-13.3333,
583,Coban,GT,78.58,scattered clouds,15.4833,-90.3667,Casa Duranta
584,Perivolion,GR,80.65,clear sky,39.4206,20.0147,Santa Maria
585,Tabou,CI,75.25,light rain,4.423,-7.3528,hotêl doufoulougou
587,Wattegama,LK,75.04,overcast clouds,6.7989,81.4808,
590,Da Nang,VN,78.78,light rain,16.0678,108.2208,Grand Mercure Danang
591,Banikoara,BJ,72.14,light rain,11.2985,2.4386,Hôtel de l'UCom CVPC
594,Aracuai,BR,75.97,clear sky,-16.8497,-42.0703,Village das Minas Hotel
596,Abdanan,IR,85.95,clear sky,32.9926,47.4198,خدمات موبایل میرزایی
